id,name,surname,city,street,street_number,postal_code
111175002,Rysiek,Okulski,Baborów,Mewy,926,61-855
567214245,Hilary,Matlak,Przecław,Żuławskiego Jerzego,1331,00-153
55146026,Fryderyka,Mejsztowicz,Osieczna,Grota-Roweckiego,235,64-939
447323361,Penelopa,Gawron,Bełchatów,Stępnia Józefa,1382,48-345
232557098,Albert,Dancewicz,Nowy Tomyśl,Lechonia Jana,145,60-826
62990871,Gromosław,Kalinowski,Kępno,Węgrzecka,1284,14-053
140909410,Łukasz,Parandowski,Police,Wyrwy-Furgalskiego Tadeusza,948,16-173
42936241,Franciszek,Kreczmar,Drawsko Pomorskie,Ziemowita,1228,88-333
10294477,Zenobiusz,Pospieszalski,Kamień Pomorski,Obrzyca,574,45-637
89707560,Ariadna,Butkiewicz,Gościno,Romanowicza Tadeusza,1314,52-420
131582536,Danusia,Górzyńska,Toszek,Przełom,537,07-381
50487753,Krzesimir,Żyborski,Łowicz,Brzechwy Jana,397,09-837
577385283,Marzanna,Wolska,Kraków,Stawna,863,16-062
4388393,Hugon,Umiński,Czerwieńsk,Solvaya Ernesta,611,24-272
563046439,Sandra,Dunajewska,Żory,Niedźwiedziany,72,61-485
445577199,Jaromił,Bogusz,Nasielsk,Domagały Mariana,965,89-784
251303755,Rachela,Topolska,Sława,Ludźmierska,275,69-384
42868650,Tobiasz,Filipowicz,Zielonka,Jurajska,46,68-422
30697472,Kazimiera,Baran,Kąty Wrocławskie,Ekielskiego Władysława,531,66-978
108860694,Cecylia,Horodecka,Bobowa,Sielawy,970,90-566
535282861,Wincenty,Kowal,Supraśl,Literacka,1176,91-866
172300999,Fabian,Ochab,Nowe Skalmierzyce,Miechowska,184,56-025
110281370,Teofil,Roguski,Czechowice-Dziedzice,Żurawia,505,05-511
3387562,Wiesław,Żurawicki,Strzelin,Mierniczych,10,06-322
4633006,Marzanna,Kijańska,Konin,Lemierzycka,221,86-163
112724256,Sława,Lutostańska,Pasym,Kanclerska,1381,26-644
47326142,Hermenegilda,Fornalska,Łomża,Głęboka,1031,04-719
97395430,Lilianna,Bareja,Sulejów,Jordanowska,49,75-105
46517168,Szczepan,Kołodziejski,Ostrów Wielkopolski,Traugutta Romualda,850,54-388
230331011,Kostek,Pląskowscy,Szamotuły,Ariańska,228,63-952
55042763,Zosia,Wąsiel,Suraż,Kunickiego Stanisława,829,96-091
93192494,Darzybór,Grabarz,Mordy,Bujwida Odona,1363,28-627
198336120,Marysia,Chlebowska,Krzywiń,Warpnowska,808,46-039
102456623,Bogdan,Sztwiertnia,Wielichowo,Warszewicza Józefa,125,74-894
39271622,Danka,Mackaewicz,Piotrków Trybunalski,Twardogórska,834,53-641
89663521,Dionizy,Bakuła,Nowy Tomyśl,Zakątek,145,48-190
1549062,Konstanty,Golka,Janowiec Wielkopolski,Arktyczna,1154,56-761
204705511,Dalia,Olekszyk,Tomaszów Lubelski,Suszki Jerzego,142,13-054
465633597,Maryna,Musiał,Łeba,Skołczanka,1148,88-218
51165021,Marianna,Świdzińska,Myślenice,Borówki,1357,81-268
16845094,Benedykta,Jabłońska,Tychowo,Oleśnicka,770,89-155
277390022,Romuald,Bużeński,Górzno,Wdałego Walgierza,1383,79-017
164519574,Ludwika,Towarnicka,Piekary Śląskie,Szafirowa,942,25-939
118644000,Tomek,Olszowski,Tuczno,Poronińska,1304,68-935
67364986,Dobiesław,Małłek,Kępno,Paukszty Eugeniusza,651,95-969
124928168,Aron,Rychlewski,Kostrzyn,Prądzyńskiego Ignacego,374,13-603
92751397,Manuel,Wójczyk,Czarne,Kmietowicza Leopolda,815,39-782
6416386,Penelopa,Wielopolska,Tychowo,Czajcza,737,75-904
104560263,Franciszek,Krajewski,Sobótka,Tokarskiego Juliana,1079,86-310
25747358,Julian,Kołłątaj,Ślesin,Bulwarowa,1154,51-178
592544164,Natalia,Świerczewska,Dukla,Nadolnik,968,00-873
570611428,Michalina,Kalinowska,Ruda Śląska,Wolnica,368,29-614
28932508,Jędrek,Urbański,Pobiedziska,Pana Tadeusza,1138,71-857
196825099,Feliks,Radziński,Krynica-Zdrój,Pod Gwiazdami,541,71-746
98648828,Miron,Mazur,Janikowo,Raciborska,406,60-041
543764171,Jagienka,Zarzecka,Iława,Żbikowa,867,20-612
334665454,Alberta,Dziurawiec,Kłecko,Augustowska,78,59-722
4376605,Iwa,Trzcińska,Stawiski,Mazurska,227,59-292
3106533,Irena,Czachor,Bystrzyca Kłodzka,Wolnica,1249,79-126
23067424,Tomek,Lewandowski,Jedwabne,Wyszeborska,980,95-980
523277185,Bartek,Bogusz,Ustka,Popielidów,859,18-172
75975261,Teofil,Rudnicki,Jarocin,Jałowcowa,883,95-744
20952699,Celestyn,Butkiewicz,Legnica,Dworska,258,08-132
107160825,Benedykt,Tomankiewicz,Dęblin,Unisława,665,85-788
12902699,Edmund,Sochacki,Pilica,Marusarzówny Heleny,620,11-226
26927944,Paula,Larek,Radymno,Zacisze,1007,42-129
448507984,Oskar,Piecha,Wodzisław Śląski,Szewska,840,82-538
27551113,Tomasz,Mioduszewski,Maszewo,Oboźna,124,82-888
49090423,Alek,Witczak,Chocz,Sudecka,1009,11-784
36782056,Bianka,Woźniak,Chociwel,Augustiańska,1294,72-528
478394664,Cezariusz,Pańczyk,Jeziorany,Pułaskiego Kazimierza,1235,81-887
91653836,Alina,Piwarska,Czerwionka-Leszczyny,Wagi,390,84-618
540014473,Waldek,Szklarski,Piotrków Trybunalski,Szpakowa,1262,10-878
47520136,Teofil,Czech,Wieluń,Mortkowicz-Olczakowej Hanny,1262,01-765
169141599,Malina,Maślińska,Zielona Góra,Zakrzowiecka,803,17-251
4230910,Emilian,Kaczanowski,Ostrów Mazowiecka,Biecka,454,20-344
117339755,Oliwier,Chomicki,Grodzisk Wielkopolski,Babiego Lata,6,42-884
33114503,Nikola,Kwietniewska,Szubin,Więzowska,1222,46-643
215030020,Adria,Tarnowska,Choroszcz,Ludwinowska,526,52-982
341279087,Irena,Zawiślak,Szczecin,Tomaszewskiego Adama,1005,55-566
13600984,Iwon,Porowski,Szepietowo,Parafialna,899,04-324
117923021,Bogusław,Butkiewicz,Kłodawa,Spytka Z Melsztyna,1239,47-302
98428214,Waldemar,Popek,Sztum,Tucholska,562,25-695
26290863,Oliwier,Więcek,Oborniki Śląskie,Borówki,908,96-575
367606711,Gabriela,Korwin-Szymanowska,Tychy,Strzałowa,227,60-499
168241438,Magdalena,Grzesiak,Daleszyce,Trąmpczyńskiego Wojciecha,1219,54-642
480559354,Tytus,Fijewski,Kleszczele,Skałeczna,408,40-291
266819618,Marcelina,Grzesiuk,Krotoszyn,Milicka,132,73-830
285172493,Augustyna,Piwarska,Sulęcin,Piotrowska,504,83-606
72678165,Horacy,Romański,Szczecinek,Sadowa,381,17-023
476605852,Jadwiga,Zawadzki,Dzierzgoń,Podrzecze,648,00-456
479021600,Marylka,Nowicka,Boguchwała,Iwonicka,1249,42-256
37065620,Rozalia,Olekszyk,Nidzica,Lotnicza,1263,80-721
514502782,Flawia,Pietrzak,Bochnia,Łupowska,725,55-806
5122705,Aron,Olekszyk,Myślibórz,Kokotowska,210,58-085
457615962,Bogumiła,Wielopolska,Krobia,Rymarkiewicza Jana,753,66-095
206813068,Zbyszko,Chomicki,Chełmek,Podolska,136,13-418
472092194,Wera,Kaczmarska,Czerwionka-Leszczyny,Bieńczycka,764,62-913
429790743,Honorat,Fijewski,Łapy,Kapelanka,1144,65-629
27938230,Jędrzej,Ryndak,Międzyzdroje,Łanowa,611,14-606
459241262,Józefa,Pląskowscy,Rypin,Olszańska,878,69-883
6809870,Horacy,Malczewski,Stronie Śląskie,Kurasia Ferdynanda,1026,03-787
11080974,Waldemar,Szlagowski,Bieżuń,Westerplatte,868,50-230
145842350,Stanisław,Tasior,Piwniczna-Zdrój,Becka Józefa,177,82-252
67162332,Jerzy,Pardecki,Wrocław,Cicha,147,33-324
250306945,Darzybór,Krawczyk,Debrzno,Pysocice,560,13-118
14870411,Laura,Żyborska,Rumia,Słowicza,284,03-173
2527725,Filip,Szołtysek,Mieroszów,Husarska,223,68-173
74616701,Janina,Siudek,Lublin,Księcia Mieszka I,440,64-384
313528549,Jakub,Kot,Warsaw,Pod Gajem,129,21-498
468333278,Kacper,Kasprzyk,Myszków,Krzewowa,775,43-749
78274827,Abel,Rataj,Wieruszów,Bagatela,578,13-881
996768,Jarosław,Zając,Szczucin,Sędziwoja,266,58-639
455016284,Czesława,Horodecka,Nowy Targ,Twardogórska,605,39-536
6085491,Alfreda,Wisowaty,Krośniewice,Janiszewskiego Tomasza,678,60-417
84641237,Błażej,Lipski,Siedliszcze,Węgierskiego Ludwika,95,70-713
24488906,Radosław,Pakosz,Rabka-Zdrój,Bojerowa,346,08-144
341084861,Kasia,Lasocka,Margonin,Baranieckiego Adriana,1385,30-493
85481773,Zenek,Jałoszyński,Pszów,Przemysłowa,158,95-523
43482107,Wawrzyn,Terlecki,Ciężkowice,Świt,1014,65-237
434546203,Mieszko,Janicki,Wisła,Niedźwiedziany,1229,52-192
4571066,Maks,Krauze,Ustroń,Karpicka,1394,41-751
14673613,Antonina,Rutowicz,Łosice,Grenadierów,779,19-290
442524030,Damian,Kraszewski,Ożarów,Mikołajska,1361,02-626
19476954,Ryszard,Krupski,Nowy Tomyśl,Czyżyków,757,06-843
63038915,Marietta,Buczyńska,Kolonowskie,Ownicka,957,84-892
51165045,Sylwester,Wałach,Gliwice,Żywokostowa,539,28-360
381531571,Henryk,Sojka,Zawadzkie,Estreicherów,762,63-390
419063979,Inga,Uryga,Łęczyca,Modrakowa,38,46-564
8692813,Janusz,Nowacki,Piła,Kierzkowskiego Kazimierza,1193,42-632
94768571,Artur,Strzyżewski,Skępe,Rdzawa,299,47-480
131078486,Ferdynand,Ochab,Radzionków,Wiesiołkowa,1322,86-315
55084957,Wiktor,Kowal,Gryfino,Szadecka,1320,47-633
69252940,Joachim,Białek,Olsztynek,Rubinowa,591,23-373
13648941,Feliks,Skibiński,Dobrzyca,Pniewska,725,09-317
412564863,Iwa,Szołtysek,Miechów,Kazimierza Waltera,110,06-303
43544131,Sylwester,Skubiszewski,Ozorków,Nowosądecka,304,75-414
11781277,Nikita,Gawkowska,Chrzanów,Syrenia,437,11-925
153533309,Karola,Betlińska,Głowno,Grębałowska,406,05-184
201706046,Radziwił,Tyszka,Ciężkowice,Krawiecka,587,31-653
160792328,Ewa,Stępień,Polanów,Berdyczowska,241,10-041
157039979,Dobrawa,Stoch,Jarocin,Konecznego Feliksa,148,25-689
187348367,Jagoda,Piskorska,Dąbrowa Białostocka,Polarna,67,54-444
456824387,Dionizy,Romański,Janikowo,Franciszkańska,814,57-554
79820558,Flawia,Maculewicz,Ostrów Mazowiecka,Żółwia,252,72-602
228399328,Marian,Smolik,Brzostek,Sędziwoja,552,56-588
33459285,Irek,Dobiecki,Choroszcz,Strumienna,546,29-671
197456748,Roma,Tatarkiewicz,Tarczyn,Podskale,1354,08-260
503895130,Danusia,Jastrzębska,Ślesin,Radosna,667,36-193
5388562,Celina,Wierzbowska,Sandomierz,Dobromiły,9,43-425
590334641,Hanna,Woźniak,Lipsk,Osiecka,745,27-782
6811432,Jakub,Staniewski,Poddębice,Lotnicza,1168,38-156
48200073,Oleńka,Tyszka,Pilzno,Regionalna,212,11-053
14331324,Jaromił,Skoczylas,Korsze,Suchy Jar,1099,16-367
307087760,Maryna,Bończak,Toszek,Maratońska,1192,45-401
366937394,Bogdan,Milski,Piaseczno,Kilińskiego Jana,739,20-815
500999735,Nikola,Wojnowska,Słubice,Sadzawki,128,98-089
170280807,Zyta,Wójtowicz,Ostrołęka,Grimma Wilhelma,1252,14-947
657428408,Dioniza,Arciszewska,Rymanów,Piaskowa,357,55-691
110240704,Szczepan,Pietraszek,Wolsztyn,Kmietowicza Leopolda,169,65-052
508664414,Melchior,Remiszewski,Jaraczewo,Masarska,1114,71-692
27829388,Iwon,Hejmo,Trzcińsko-Zdrój,Karwieńska,885,69-968
94575489,Krystian,Wójczyk,Olesno,Bałtycka,1083,77-404
263064701,Kalina,Zielonko,Świebodzin,Czeczów Henryka I Karola,713,77-218
121114181,Faustyna,Korczewska,Żagań,Kargowska,488,83-507
150103327,Cecylia,Waśkowska,Resko,Niemcewicza Juliana Ursyna,15,14-542
394031629,Bożydar,Kwiek,Legionowo,Trójpole,139,16-848
63789311,Fabiana,Kowal,Mielec,Moczydło,679,90-416
332314870,Nikita,Zagumny,Wolin,Sudolska,1256,80-382
150663405,Melchior,Siudek,Lipsko,Raszkowska,1294,40-684
326107278,Julianna,Sytek,Golczewo,Łozińskiego Władysława,518,05-079
310452731,Dobrawa,Sytek,Wieruszów,Sempołowskiej Stefanii,635,78-372
81814226,Sandra,Hrycyk,Stąporków,Klin,218,68-295
425953246,Bożydar,Pankiewicz,Daleszyce,Wiechowicza Stanisława,1299,02-110
128075700,Jagoda,Bielicka,Gniew,Kolarzy,874,78-994
7254623,Zenobiusz,Młynarczyk,Miasteczko Śląskie,Boznańskiej Olgi,454,30-994
113127233,Leonard,Wodzyński,Sulęcin,Zagórze,257,49-368
19871427,Bogumiła,Waśkowska,Margonin,Cybińska,793,62-650
481572924,Angelika,Krawczyk,Raciąż,Azaliowa,577,69-545
9224048,Hugon,Dębiński,Radłów,Przybrodzka,859,26-957
412507174,Lusia,Larek,Czechowice-Dziedzice,Podskale,469,22-209
117174792,Wojciech,Arciszewski,Łuków,Kmieca,704,91-806
186295981,Brygida,Buczyńska,Głogówek,Bielska,72,91-258
229143635,Jola,Pilarz,Lubliniec,Dukielska,220,80-384
13654266,Gwidon,Mleczko,Wyrzysk,Świerkowa,1105,53-823
20640084,Zygmund,Maciejewski,Bełchatów,Retoryka,453,10-860
484277648,Michalina,Skubiszewska,Koluszki,Stelmachów,1009,58-389
54303803,Pankracy,Wołk-Lewanowicz,Katowice,Suwalska,1379,75-021
16779018,Lew,Hejmo,Tomaszów Mazowiecki,Wilków Morskich,269,43-985
12783382,Teodezja,Galewicz,Jędrzejów,Łacina,127,69-835
13490441,Teodor,Romanowicz,Małogoszcz,Lniana,813,82-110
341823595,Leszek,Burzyński,Trzciel,Podbiałowa,815,20-201
473413341,Eryk,Zych,Zakroczym,Przylaszczkowa,539,53-139
7491642,Emilian,Kamiński,Kamienna Góra,Krzyżanowskiego Adama,302,73-010
2048443,Afrodyta,Purcelewska,Lublin,Nowakowskiego Stanisława,450,63-947
18731509,Bona,Świnarska,Strzelno,Ketlinga,130,57-457
508958254,Luiza,Burzyńska,Sztum,Potockiej Klaudyny,588,82-247
457595446,Witek,Sikora,Barczewo,Gerwela Czesława,1127,76-936
503058439,Michalina,Abakanowicz,Chojnice,Piłsudskiego Józefa,578,45-262
5507059,Aleksy,Gombrowicz,Poręba,Drużbackiej Elżbiety,1036,46-565
537737088,Roma,Rymkiewicz,Żyrardów,Bożeny,1070,92-810
391503410,Ida,Burzyńska,Jarocin,Żorska,457,50-063
394076833,Jagna,Kurowska,Brwinów,Przegon,1229,95-433
141880950,Józef,Maniura,Syców,Soczyny,886,91-112
44095825,Jolanta,Semik,Mrocza,Golkowicka,540,56-566
562878460,Ludwika,Pospieszalska,Rabka-Zdrój,Górki,74,45-006
444357367,Irek,Piwarski,Wągrowiec,Świętego Floriana,1084,13-034
124137901,Krystyna,Jagiełło,Moryń,Agrestowa,1076,46-187
50830628,Aneta,Wojnar,Koźmin Wielkopolski,Dróżnicka,126,90-662
550355929,Adria,Włodarczyk,Dynów,Zagórowska,1046,91-723
15927730,Kasia,Polańska,Kosów Lacki,Grzepskiego Stanisława,220,92-057
10703650,Maniek,Topolski,Mszana Dolna,Banachiewicza Tadeusza,1036,78-216
73977507,Mikołaj,Turowski,Krotoszyn,Homera,1044,28-464
437188346,Radosława,Wójcicka,Ostroróg,Zimna,403,67-268
32851281,Melchior,Tatarkiewicz,Pyskowice,Kawiory,134,49-503
93730709,Leon,Mejsztowicz,Kalwaria Zebrzydowska,Winowców,902,56-796
55003640,Marek,Kwiatkowski,Jarosław,Szczepanowskiego Stanisława,10,41-706
297949883,Edward,Wnorowski,Szczucin,Reymonta Władysława,578,48-577
219633867,Anastazy,Gucwa,Gołdap,Magnoliowa,1375,44-962
68215363,Ernest,Smolik,Sokołów Podlaski,Wagi,493,93-989
316424834,Ewelina,Krajewska,Darłowo,Zatorska,1260,52-878
466318104,Aleksa,Kaczanowska,Gdańsk,Krajobrazowa,928,62-511
5360619,Łucjan,Bielicki,Andrychów,Tucholska,1119,19-374
238682170,Fatima,Czekalska,Margonin,Nabielaka Ludwika,766,65-242
222256801,Manuel,Lasocki,Dolsk,Weigla Ferdynanda,1117,34-879
13465525,Maciek,Siciński,Zielona Góra,Szlak,905,28-063
415699218,Marian,Trzciński,Bełżyce,Irzykowskiego Karola,899,94-854
32062565,Napoleon,Garbowski,Orzesze,Mikołajska,608,80-155
503103179,Gaweł,Samsonowicz,Kleszczele,Ciechocińska,759,64-751
273565686,Berta,Wołk-Lewanowicz,Konstantynów Łódzki,Petuniowa,186,42-855
8271671,Maks,Żmuda,Łazy,Korzeniowskiego Józefa,1111,97-524
205374663,Apoloniusz,Kowalczyk,Łęknica,Sasanek,1140,56-927
563114611,Iwa,Narkiewicz,Lądek-Zdrój,Murowana,793,88-698
430899500,Ida,Borawska,Sianów,Pronaszków Zbigniewa I Andrzeja,81,41-745
565028920,Sławomira,Czekalska,Mieszkowice,Orłowskiego Aleksandra,630,95-347
52365601,Henryka,Bieniasz,Sułkowice,Wielkich Pieców,1142,96-481
54690745,Majka,Drewniowska,Szadek,Lewandowskiego Baltazara,94,26-656
42345352,Dariusz,Szczutowski,Bartoszyce,Ostrobramska,977,63-334
81032699,Henryk,Breza,Śmigiel,Bonifraterska,1142,21-179
60772055,Nela,Sicińska,Suwałki,Bosmańska,378,03-165
451278356,Augustyn,Grabski,Leśnica,Bielańska,1208,78-799
580501608,Iwonka,Krudowska,Rajgród,Bożego Ciała,456,99-601
94265161,Ziemowit,Waligórski,Tarnów,Czeremchowa,842,78-779
454013778,Marcella,Butkiewicz,Głowno,Chotomińska,655,76-653
565845337,Tamara,Jałoszyńska,Karlino,Bystrzycka,872,84-150
276528928,Barbara,Szablewska,Mikołajki,Sępoleńska,1277,82-083
419741275,Kleofas,Podsiadło,Przemków,Na Błoniach,1190,32-553
98929171,Edyta,Świnarska,Lipsk,Niedbalskiego Stanisława,1214,72-797
50448362,Pelagiusz,Mejsztowicz,Głowno,Kopcowa,1151,34-557
3679892,Konstanty,Grzesiuk,Lipiany,Poziomkowa,125,41-291
93544056,Julita,Kwiatkowska,Ziębice,Rokosza Stanisława,1118,84-054
274542638,Emilia,Lewandowska,Stary Sącz,Jagiellońska,574,39-038
300196905,Cezary,Bielecki,Łańcut,Struga Andrzeja,54,77-038
115102896,Remigiusz,Piechota,Lewin Brzeski,Człuchowska,892,19-582
55945401,Liwia,Kononowicz,Zamość,Lubicz,1094,87-348
172097372,Miłosz,Świdziński,Osiek,Berenta Wacława,1155,77-791
440392522,Stefan,Rzepecki,Annopol,Pielęgniarek,259,11-991
6250994,Irek,Korczyński,Białobrzegi,Rydlewskich Marii I Celestyna,929,47-959
219955471,Hipolita,Lewińska,Ścinawa,Wodociągowa,305,72-912
84195792,Przemysława,Jabłońska,Opole,Szopienicka,612,81-534
56423771,Rysiek,Milewski,Szczucin,Wroniecka,360,24-129
4086883,Wyszomir,Narzymski,Cybinka,Grażyny,1318,21-455
150407422,Teodezja,Niewiadomska,Leśna,Daniłowskiego Gustawa,202,15-119
4080332,Cezary,Grzesiuk,Skoki,Moszyńskiego Kazimierza,567,33-547
43897066,Adolf,Świdziński,Pruchnik,Lniana,631,76-244
108602859,Stanisława,Pietraszek,Lubaczów,Dębnicki Rynek,264,35-040
40002953,Ireneusz,Zajączkowski,Nieszawa,Karmelowa,559,02-442
47653731,Gniewomir,Gombrowicz,Lubań,Węglarska,286,22-693
22690019,Abel,Czerwiński,Kępice,Wrocławska,430,05-807
74371364,Filip,Kucharczyk,Chojnów,Staromorzysławska,1058,94-291
57228741,Zbigniew,Bojanowski,Górowo Iławeckie,Margaretek,1243,55-109
439504392,Bogumiła,Dziadosz,Szadek,Zgoda,1388,37-824
32156843,Napoleon,Stasiuk,Kościerzyna,Śniadeckich,1077,07-516
396467733,Hanna,Grocholska,Pruszków,Poziomkowa,1274,79-583
279731537,Korneliusz,Młynarczyk,Busko-Zdrój,Kapelanka,195,11-514
446627975,Felicja,Sojka,Żagań,Rycerska,868,68-361
653103410,Sława,Korczewska,Buk,Szwai Jana,880,79-935
169548879,Tomasz,Grochowski,Wieleń,Poplińskich,404,32-661
5381377,Karol,Ślusarski,Suchowola,Jaraczewska,81,13-968
87460941,Stefania,Gutowska,Wronki,Pana Cogito,319,23-794
90812228,Jaromił,Wawrzyniak,Gostynin,Zieleńska,1030,78-756
193023954,Daniela,Wolańska,Kock,Królowej Marysieńki,1376,31-962
382138697,Ola,Baran,Kudowa-Zdrój,Wrotyczowa,952,36-381
265173918,Izabela,Wojnar,Sieradz,Grudzieniec,102,89-134
433606234,Teresa,Reszke,Pionki,Pod Szańcami,428,96-465
557930817,Karola,Redlicka,Kutno,Powstańców Wielkopolskich,1113,11-333
87237940,Kryspian,Zagumny,Chrzanów,Podmiłów,49,52-431
69614716,Wacława,Szymczyk,Janowiec Wielkopolski,Gajocha Jana,60,61-453
395646865,Agnieszka,Boguszewska,Bychawa,Krochmalniki,489,83-572
366504410,Cezariusz,Krudowski,Nowy Dwór Gdański,Powstańców Śląskich,440,91-353
86418590,Tymon,Pląskowscy,Jedwabne,Ujejskiego Kornela,113,91-165
485977314,Maksyma,Leja,Przasnysz,Belwederczyków,20,66-197
263799135,Hipolit,Ślusarski,Trzcianka,Glebowa,649,60-930
408569443,Marcella,Jastrzębska,Kłobuck,Gruszczyńskiego Włodzimierza,1068,73-981
3515095,Ilona,Małachowska,Lubień Kujawski,Niedźwiedziany,1112,52-531
30822103,Waldek,Święcicki,Łuków,Chmielowskiego Adama,935,43-352
67803982,Sławek,Olechowski,Strzelno,Cuplowa,833,24-045
194558694,Karola,Netkowska,Świętochłowice,Kownackiej Marii,840,83-664
158214850,Igor,Bończak,Toszek,Dolska,702,52-293
10345955,Bogumił,Raszewski,Maszewo,Lubicz,1273,29-250
15358147,Olgierd,Tasior,Wolbórz,Białczańska,1311,39-098
563260378,Lucjana,Muszyńska,Kętrzyn,Kownackiej Marii,1241,87-701
59630265,Sylwester,Kmiecik,Sopot,Stróżyńskiego Franciszka,389,85-406
7392807,Beniamin,Lewandowski,Łapy,Marszałkowska,1285,54-020
80184489,Oskar,Wilk,Grybów,Gostyńska,1390,22-302
43844991,Kołodziej,Onufrowicz,Rydułtowy,Monterska,29,83-513
58116430,Artur,Komornicki,Kargowa,Świętego Jana,44,05-866
32189420,Bronisław,Sarnowski,Gogolin,Dolnych Młynów,931,84-017
53071153,Iliana,Wolska,Dęblin,Konarowa,1174,58-771
20204316,Sabina,Radzińska,Chmielnik,Lublańska,853,03-261
248436859,Fatima,Przeździecka,Sosnowiec,Danalówka,1361,77-827
372926900,Danisława,Rymkiewicz,Przecław,Polanicka,982,15-660
223928495,Wyszomir,Roszkowski,Wąsosz,Drogowców,594,84-630
364505200,Franciszka,Słabowska,Skaryszew,Bożydara,414,68-604
299274474,Judyta,Kamińska,Tyszowce,Okrzei Stefana,1109,91-489
91076391,Iwa,Netkowska,Żagań,Opatkowicka,259,57-466
148163500,Darzybór,Kozubowski,Pajęczno,Promienistych,571,50-193
465777378,Anatol,Wojciechowski,Brzeziny,Bojowa,274,01-385
55729052,Maksymilian,Borawski,Zduny,Winnicka,516,84-989
441941601,Bernadetta,Giergielewicz,Stąporków,Rzeszowska,54,13-515
515085433,Antonia,Platajs,Bochnia,Bogumiła,181,83-057
206946431,Joanna,Piwarska,Lidzbark Warmiński,Wierzyńskiego Kazimierza,397,93-360
341253852,Olga,Ignatowicz,Chocz,Prawocheńskiego Romana,73,91-946
166381324,Olaf,Marcinkowski,Brześć Kujawski,Puchalskiego Włodzimierza,377,35-848
151143234,Jarek,Łomnicki,Słupca,Niwy,232,79-211
124941484,Jagienka,Terlecka,Żarów,Wojnicka,1099,66-271
